Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,94.7,94.93,93.27,93.63,862827.0,93.63
2018-03-26,94.92,95.08,93.46,94.77,1031563.0,94.77
2018-03-23,94.36,95.382,93.0,93.21,1128084.0,93.21
2018-03-22,93.39,95.01,93.2,94.25,1292172.0,94.25
2018-03-21,91.92,95.27,91.815,94.67,808832.0,94.67
2018-03-20,92.24,92.8207,91.14,91.62,1070637.0,91.62
2018-03-19,91.46,91.84,89.73,91.65,1232025.0,91.65
2018-03-16,92.16,93.68,91.5,92.48,1535325.0,92.48
2018-03-15,94.01,95.23,91.71,92.14,949154.0,92.14
2018-03-14,92.79,94.78,92.46,93.54,1425627.0,93.54
2018-03-13,95.81,95.89,92.18,92.56,1254149.0,92.56
2018-03-12,92.8,95.49,92.6201,95.38,2145674.0,95.38
2018-03-09,94.54,94.545,92.46,92.89,1348649.0,92.89
2018-03-08,93.33,93.86,92.05,93.69,1096870.0,93.69
2018-03-07,92.9,95.57,92.1176,92.69,1621229.0,92.69
2018-03-06,97.47,97.59,93.32,93.41,1246018.0,93.41
2018-03-05,95.41,97.37,95.41,96.69,1143087.0,96.69
2018-03-02,94.88,96.39,93.96,95.85,997637.0,95.85
2018-03-01,95.97,96.98,94.54,95.35,1199012.0,95.35
2018-02-28,98.11,98.75,96.09,96.09,1235660.0,96.09
2018-02-27,98.31,99.19,97.19,97.92,1549832.0,97.92
2018-02-26,98.76,99.3,97.6,98.34,939579.0,98.34
2018-02-23,96.31,98.77,96.0,98.7,1248398.0,98.7
2018-02-22,95.6,97.39,93.76,95.44,1491986.0,95.44
2018-02-21,98.08,98.25,95.1,95.13,1627158.0,95.13
2018-02-20,99.69,100.72,97.67,98.37,1336279.0,98.37
2018-02-16,98.26,101.04,98.1761,98.73,2012493.0,98.73
2018-02-15,98.05,99.53,95.72,98.76,3737745.0,98.76
2018-02-14,99.25,102.51,98.42,102.19,1552570.0,102.19
2018-02-13,100.03,100.86,97.73700000000001,99.78,1497174.0,99.78
2018-02-12,101.49,103.4,99.99,100.9,992548.0,100.9
2018-02-09,100.72,101.09,95.56,100.19,1768366.0,100.19
2018-02-08,105.87,106.44,100.18,100.19,1455892.0,100.19
2018-02-07,108.44,110.24,105.71,105.91,1363361.0,105.91
2018-02-06,107.82,110.2,105.96,108.46,1221211.0,108.46
2018-02-05,110.23,111.89,107.83,107.91,1138680.0,107.91
2018-02-02,112.2,112.2,109.8,110.95,1145064.0,110.95
2018-02-01,113.04,115.59,111.97,113.41,1064486.0,113.41
2018-01-31,114.05,114.93,111.131,112.2,1046741.0,112.2
2018-01-30,117.01,117.01,112.6001,114.33,1639677.0,114.33
2018-01-29,119.23,120.065,117.891,118.68,980413.0,118.68
2018-01-26,120.71,121.805,119.34,119.78,842767.0,119.78
2018-01-25,124.5,125.34,119.57,120.25,1330552.0,120.25
2018-01-24,125.5,125.92,123.88,124.23,1174123.0,124.23
2018-01-23,126.63,127.13,124.56,125.05,1022347.0,125.05
2018-01-22,124.52,126.815,124.21,126.8,745471.0,126.8
2018-01-19,124.06,124.71,122.65,124.04,827499.0,124.04
2018-01-18,126.2,126.63,124.27,124.64,944485.0,124.64
2018-01-17,126.25,128.0,125.16,126.45,634541.0,126.45
2018-01-16,127.68,127.79,125.73,125.83,1117867.0,125.83
2018-01-12,128.01,130.16,126.98,127.14,1458210.0,127.14
2018-01-11,126.25,128.74,125.86,127.65,1088902.0,127.65
2018-01-10,127.87,128.22,125.26,125.55,796210.0,125.55
2018-01-09,128.21,128.99,126.84100000000001,127.61,514345.0,127.61
