ABBV,BRIEF-Inventiva and AbbVie extend agreement
BA,WTO reverses Boeing 777X tax credit ruling in blow to EU,WTO reverses ruling against Boeing 777X tax credits
DAL,BRIEF-Shareholders approve equity investment of China Eastern and Delta Air Lines in Air France-KLM
FOXA,Britain says to rule on Fox-Sky advice as soon as possible
INTC,Landmark Intel judgment critical for other EU antitrust cases
MCD,McDonald's cooperates with South Korea probe; halts bulgogi burger,McDonald's workers stage company's first strike in Britain
PM,Motor racing: Ferrari continue with tobacco sponsor,BRIEF-Ferrari renews multi-year partnership with Philip Morris International
QCOM,South Korean court rejects Qualcomm's request to suspend antitrust body's order
T,BRIEF-AT&T says Chilean regulators approve AT&T acquisition of Time Warner
UTX,REFILE-United Tech to buy Rockwell Collins for $30 bln in stock and cash,BRIEF-United Technologies to buy Rockwell Collins for $23 bln- WSJ
VLO,Valero Port Arthur refinery restarting multiple units: filing,"Valero says Corpus Christi, Texas City refineries at pre-Harvey levels"
WMT,Wal-Mart reopens most Gulf region stores after Harvey,Wal-Mart reopens most Gulf region stores after Harvey
