AAPL,Qualcomm urges U.S. regulators to reverse course and ban some iPhones
ALB,Albemarle bullish on lithium outlook after fourth-quarter profit,Albemarle swings to quarterly profit on rising lithium sales
BMY,"Bristol-Myers says Starboard nominated five directors, bought shares","Bristol-Myers says Starboard nominated five directors, bought shares"
CVS,"CVS profit miss, rebate questions send shares tumbling 8 percent",CVS Health quarterly revenue rises 12.5 pct
FB,WhatsApp bug lets users bypass new privacy controls,"Samsung announces Galaxy Fold phone with apps from Facebook, Google",EU's Vestager says not precluding Facebook case in future
GOOG,"Samsung announces Galaxy Fold phone with apps from Facebook, Google",Google fails to disclose microphone in Nest Secure
GOOGL,"Samsung announces Galaxy Fold phone with apps from Facebook, Google",Google fails to disclose microphone in Nest Secure
GRMN,Garmin shares surge 15 percent as new direction fuels strong forecast,RPT-Garmin fourth-quarter profit beats expectations
KMI,Exclusive: Kinder Morgan to expand Chicago ethanol hub to calm glut concerns - sources
LMT,Lockheed unveils new F-21 fighter jet configured for India,Lockheed unveils new F-21 fighter jet configured for India
LUV,Southwest shares drop as mechanics dispute escalates,Southwest vows investigation into grounded planes amid talks with mechanics,UPDATE 1-Southwest vows investigation into grounded planes amid talks with mechanics
MSFT,Microsoft says discovers hacking targeting democratic institutions in Europe
QCOM,Qualcomm urges U.S. regulators to reverse course and ban some iPhones
RIG,Transocean's Wishful Thinking Destroys Balance Sheet,Transocean: All Too Quiet On The Ocean Front
SJM,J.M. Smucker projects 2020 profit above Wall St. estimates,J.M. Smucker projects 2020 profit above Wall St estimates
STZ,Corona maker Constellation looking to offload some wine brands,Corona maker Constellation looking to offload some wine brands
WMT,Sainsbury's-Asda deal in jeopardy as UK regulator condemns plan
