AAPL,Apple CEO Cook defends removal of police-tracking app used in Hong Kong,UPDATE 1-Apple CEO Cook defends removal of police-tracking app used in Hong Kong,Samsung Display to invest $11 billion by 2025 amid industry oversupply
AMZN,IN BRIEF: Fed Circuit dashes Amazon’s hopes of shipping patent cases to EDVA
GOOGL,Google to triple cloud computing workforce in Latin America by end of 2020,Google pulls Hong Kong protester role-playing app
