AAPL,"Apple supplier Skyworks sees hit from smartphone weakness, ZTE ban",Apple supplier Skyworks' revenue rises 7.2 pct,"Apple services segment faces margin, competitive challenges"
AMZN,Sprouts ended Amazon Prime Now delivery partnership on May 1,Amazon halts plan for office tower in Seattle over proposed tax,Amazon to open new fulfillment center in Australia,Amazon to open new fulfilment center in Australia,BRIEF-Amazon announces new fulfilment centre in South West Sydney
