ABT,U.S. joins case against Abbott's Alere over diabetic tests
AGN,Allergan should explore selling itself: Appaloosa's Tepper,Appaloosa's Tepper says Allergan should consider selling itself
AMZN,"US STOCKS-Wall St edges higher on Amazon, Walmart gains; trade talks in focus",Amazon's China unit in merger talks with NetEase's Kaola: report,Amazon's Chinese unit in merger talks with NetEase's Kaola -report
BA,Britain's Cobham takes $206 million charge to settle Boeing dispute,Britain's Cobham takes 160 mln stg charge over Boeing dispute
BLK,"BlackRock, KKR plan $4 billion-$5 billion investment in ADNOC pipeline unit: FT"
CB,What Are The Highest Quality Dividend Growth Stocks?
CXO,"Concho Resources misses profit estimates, shares fall","Concho Resources misses profit estimates, shares fall"
DVN,Devon Energy beats production estimates in fourth quarter,Devon Energy beats production estimates in fourth quarter
GE,Honeywell-Pratt venture protests GE's Army helicopter contract,Honeywell-Pratt venture protests U.S. Army's contract to GE
GS,UPDATE 1-Goldman Sachs Asia Pacific CEO to retire - source,Goldman Sachs Asia Pacific CEO to retire: Bloomberg
HON,Honeywell-Pratt venture protests GE's Army helicopter contract,Honeywell-Pratt venture protests U.S. Army's contract to GE
K,"Kellogg, Mondelez stock up on Pringles, Milka for fear of Brexit","Kellogg stocks up on Pringles, cereals for fear of 'hard Brexit'"
LLY,Pfizer-Lilly drug shown to help reduce back pain in late-stage trial
MRK,Merck's Keytruda fails late-stage study in liver cancer patients,Merck's Keytruda fails late-stage study in liver cancer patients
MYL,Teva expects sales injection from U.S. EpiPen market,Teva Pharm expects about 25 pct of EpiPen market by year end
NFLX,"Netflix Toronto production hub to create 1,850 jobs annually"
PCG,Scope of potential mandated power outages hangs over bankrupt PG&E
PFE,"BRIEF-Pfizer Receives European Approval For Zirabev, A Biosimilar To Avastin",Pfizer-Lilly drug shown to help reduce back pain in late-stage trial,UPDATE 1-Pfizer-Lilly drug shown to help reduce back pain in late-stage trial
QCOM,Qualcomm launches new chip to power 5G smart phones
RIG,Transocean Ltd. (RIG) CEO Jeremy Thigpen on Q4 2018 Results - Earnings Call Transcript
WMT,"Walmart holiday-quarter sales jump, says consumers still spending",Wall Street rises modestly on Walmart bump,US STOCKS-Wall Street rises modestly on Walmart bump,US STOCKS SNAPSHOT-Wall St rises modestly on Walmart bump,REFILE-US STOCKS-Wall St ekes out gains on upbeat Walmart results,"US STOCKS-Wall St edges higher on Amazon, Walmart gains; trade talks in focus","Walmart holiday quarter sales rise, ecommerce jumped 43 percent"
XOM,Australia's Oil Search banks on 2020 sign-off for major expansion
