AAPL,Apple to undercut popular law-enforcement tool for cracking iPhones
AMZN,Italy's Poste and Amazon sign deal to boost online shopping,Seattle City Council repeals 'head tax' weeks after enactment,Judge keeps stay on Amazon driver misclassification case
BLK,Long bonds could face more pressure as rates rise -BlackRock's Rieder
BSX,Medical device maker Stryker says not in talks to buy Boston Scientific,Medical device maker Stryker says not in talks to buy Boston Scientific
C,Citigroup CFO sees flat second-quarter markets revenue versus year earlier,Senate Democrats seek probe of SEC official's comments to Citi on guns,Citigroup CFO sees flat Q2 markets revenue vs year earlier,Senate Democrats seek probe of SEC comments to Citigroup on guns
CMCSA,Comcast offers $65 billion to lure Fox from Disney bid,Comcast prepares financing for 21st Century Fox buy,Deals of the day-Mergers and acquisitions,Comcast offers to buy Fox media assets for $65 bln in cash,Fox shares pop ahead of expected Comcast bid
DIS,Comcast offers $65 billion to lure Fox from Disney bid,Comcast offers to buy Fox media assets for $65 bln in cash
EBAY,Payments company Adyen evokes tech bubble as share price doubles on market debut
FB,Uber hires Facebook's product director as its driver product head,Payments company Adyen evokes tech bubble as share price doubles on market debut
FOXA,Comcast prepares financing for 21st Century Fox buy
GM,U.S. automaker GM names Suryadevara CFO to succeed Stevens,GM CFO Chuck Stevens to retire
HRB,"H&R Block's heavy investments to weigh on future profits, shares sink"
JPM,"Mexico judge cancels arrest warrant for JPMorgan executive, bank says"
MS,"Brazil watchdog fines Morgan Stanley, Royal Bank of Canada for forex manipulation"
MYL,FDA finds deficiencies in Mylan's generic Advair; shares fall,FDA finds deficiencies in Mylan's generic Advair
NFLX,Payments company Adyen evokes tech bubble as share price doubles on market debut
PFE,Pfizer wins appeal in litigation claiming Lipitor causes diabetes
PSX,UPDATE 1-Phillips 66 to expand Texas natural gas liquids project,CORRECTED-Phillips 66 to expand Texas natural gas liquids project
QCOM,"Qualcomm will not exit data center business, chip chief says"
SYK,Medical device maker Stryker says not in talks to buy Boston Scientific,Medical device maker Stryker says not in talks to buy Boston Scientific
T,Deals of the day-Mergers and acquisitions,"Breakingviews - Holding: As AT&T case ends, trustbuster woes begin",Comcast offers to buy Fox media assets for $65 bln in cash,Fox shares pop ahead of expected Comcast bid,M&A gates open with judge's blessing on AT&T-Time Warner merger,"US STOCKS SNAPSHOT-Wall St opens flat, media stocks in focus",Instant View: Federal judge OKs AT&T takeover of Time Warner,AT&T wins court approval to buy Time Warner over Trump opposition,M&A gates open with judge's blessing on AT&T-Time Warner merger,AT&T legal win could spur another jumbo bond; more M&As
