AAPL,"Buffett's Berkshire slashes IBM stake, adds to Apple","BRIEF-Greenlight Capital cuts share stake in Apple, General Motors","BRIEF-Paulson & Co Inc dissolves share stake in Apple, Amazon and AIG","BRIEF-Soros Fund Management dissolves share stake in Apple, Altice USA, Snap","BRIEF-Berkshire Hathaway cuts share stake in IBM, Charter, ups stake in Apple","BRIEF-Appaloosa LP ups share stake in Apple, Facebook, slashes stake in GM"
AMZN,"BRIEF-Paulson & Co Inc dissolves share stake in Apple, Amazon and AIG","BRIEF-Tiger Global Management raises share stake in Amazon, cuts share stake in Teladoc",Amazon sells off China cloud assets as tough new rules bite,Amazon to sell China cloud services unit in $300 mln deal,Amazon to produce 'Lord of the Rings' television series
GOOGL,"BRIEF-Tiger Global dissolves share stake in Alphabet, ups stake in Facebook"
