AAPL,Apple in talks to launch money-transfer service: Recode,Apple in talks to launch money-transfer service - Recode
AMZN,BRIEF-Amazon.com Q1 earnings per share $1.48,Amazon's first quarter profit rises 41 pct,"BRIEF-Amazon to create 1,200 UK jobs with new UK fulfilment centre"
GOOGL,Google parent Alphabet's profit up 29 percent on strong ad sales,BRIEF-Alphabet posts qtrly EPS of $7.73,BRIEF-Alphabet Inc Q1 results press release,Alphabet CEO touts results of corporate restructuring
