AMZN,Wall Street's tech love affair might end in tears
FB,BRIEF-Facebook Says Suspending Cambridge Analytica And Strategic Communication Laboratories  Group From Its Platform
MSFT,Microsoft hits back at claims it ignored sexual harassment
