AAPL,China consumer group seeks answers from Apple about slowing iPhones
AMZN,U.S. holiday shoppers spend record $108 billion online: Adobe,BRIEF-Comcast Selects AWS As Its Preferred Public Cloud Provider
GOOGL,"Google to expand cloud infrastructure with new regions, submarine cables",BRIEF-Google Says Will Commission Three Subsea Cables In 2019
