AMGN,Amgen bid to stop Neulasta biosimilar fails at Fed Circuit
AMZN,Amazon plans imminent launch of online food delivery service in India: sources
BA,Canada's WestJet Airlines schedule without Boeing 737 MAX until Nov. 4,Ryanair says delays may leave it with no MAX jets next summer
BAC,Bank of America ends joint venture with Fiserv's First Data,Bank of America ends joint venture with Fiserv's First Data
BLK,Exclusive: BlackRock in talks to take over Cofense after U.S. security concerns - sources
C,Citi combines its stock trading and prime brokerage business,Citi combines its stock trading and prime brokerage business,FINRA fines Citigroup for loose background checks
CME,Breakingviews - LSE’s $27 bln data deal is bold independence bid
COF,Capital One: hacker gained access to personal information of over 100 mln Americans
FISV,Bank of America ends joint venture with Fiserv's First Data,Bank of America ends joint venture with Fiserv's First Data
GM,GM braces for attacks from Democrats in Detroit debates
GOOG,"Alphabet, Starbucks drive Wall Street to record high","REFILE-US STOCKS-Alphabet, Starbucks send Wall Street to record high"
GOOGL,"Alphabet, Starbucks drive Wall Street to record high","REFILE-US STOCKS-Alphabet, Starbucks send Wall Street to record high"
HSY,"RPT-FOCUS -As rural India develops taste for chocolate, a dominant Mondelez extends its reach","As rural India develops taste for chocolate, a dominant Mondelez extends its reach"
IVZ,Invesco makes two appointments to investment solutions team in London
JPM,MOVES-UBS hires deputy chief investment officer for Americas from JPMorgan,"Barclays, JPM, others face UK class action over currency-rigging"
MDLZ,"RPT-FOCUS -As rural India develops taste for chocolate, a dominant Mondelez extends its reach","As rural India develops taste for chocolate, a dominant Mondelez extends its reach"
MYL,Mylan deal puts future of its beleaguered EpiPen in spotlight,"Mylan stock boost follows long share struggles for company, generics industry","Pfizer to spinoff, merge off-patent drugs unit with Mylan",Pfizer in talks to transition EpiPen manufacturing into generics spinoff,Mylan to combine with Pfizer's off-patent medicines unit
NI,NiSource settles Massachusetts gas explosion lawsuits for $143 million,Columbia Gas settles Massachusetts blast lawsuits for $143 mln
OXY,Anadarko Petroleum sheds new light on Occidental finances ahead of vote
PFE,Mylan deal puts future of its beleaguered EpiPen in spotlight,Deals of the day-Mergers and acquisitions,"Pfizer to spinoff, merge off-patent drugs unit with Mylan",Pfizer in talks to transition EpiPen manufacturing into generics spinoff,Pfizer posts 30% rise in quarterly profit,Mylan to combine with Pfizer's off-patent medicines unit
QCOM,"Qualcomm, Tencent agree to collaborate on gaming devices, 5G"
RIG,BRIEF-Transocean Q2 Loss Per Share $0.34,BRIEF-Transocean Enters Supplemental Indenture,EnscoRowan Continues To Weaken,Transocean: A Fleet Status With More Questions Than Answers,Transocean: A Wall Of Debt Takes This One Off Our Buy List
