AAPL,"Apple's Tim Cook calls for calm heads on China, U.S. trade"
CME,"Explainer: China aims to challenge Brent, WTI oil with crude futures launch",China's oil futures: frazzle or dazzle for foreign traders?
FB,UK investigators search London office of firm at center of Facebook data storm,U.S. lawmakers formally ask Facebook CEO to testify on user data
