AAPL,"Mnuchin urges Apple, other tech companies to work with law enforcement",Trump criticizes Apple's encryption stance on Pensacola phones,VW CEO says carmaker faces same fate as Nokia without urgent reforms
AMZN,"During Bezos visit, India minister says Amazon's $1 billion investment is no big favour",Amazon orders electric vans from Deutsche Post's StreetScooter
GOOGL,Alphabet public market capitalization tops $1 trillion
