AAPL,Race is on for second place after Apple's $1 trillion valuation,"Wall Street eyes more gains from Apple, its $1 trillion stock",GRAPHIC-Race is on for second place after Apple's $1 trillion valuation,"Wall St eyes more gains from Apple, its cheapest $1 trillion stock",Apple breaches $1 trillion stock market valuation,Apple CEO calls $1 trillion value a 'milestone' but not a focus
AMZN,Race is on for second place after Apple's $1 trillion valuation,GRAPHIC-Race is on for second place after Apple's $1 trillion valuation,"RPT-FOCUS-Bezos throws cash, engineers at rocket program as space race accelerates",Amazon reports 1.7 million pound UK tax bill due to share deductions,Amazon forays into Australia with small loss
GOOGL,Race is on for second place after Apple's $1 trillion valuation,"Google in talks with Tencent, others for cloud services in China - BBG"
