AAPL,"Apple, Goldman Sachs start issuing Apple Cards to consumers","Apple, Goldman Sachs start issuing Apple Cards to consumers",Japan's FTC investigating Apple over pressure on parts makers: Mainichi
AMZN,Amazon Music cuts monthly price to 99 cents for students with Prime subscription,Jeff Bezos sells Amazon stock worth $2.8 billion last week
