AAPL,"Japan Display gets debt relief, says consortium to formalize bailout"
COST,"Costco looking at alternative sourcing, price hikes as tariffs loom",Costco quarterly revenue beats estimates
CVX,Ithaca to buy Chevron North Sea interests for $2 bln
DG,"Wall St. steadies after sell-off, but gains muted",U.S. dollar stores warn of tariff hit after reporting upbeat sales,"Dollar General's strong same-store sales, profit beat lift shares",Dollar General sees higher prices for U.S. shoppers on rising tariffs,Dollar General sees higher prices for U.S. shoppers on rising tariffs,Dollar General beats quarterly same-store sales estimates
DIS,Disney CEO says it will be 'difficult' to film in Georgia if abortion law takes effect,'Merch by Amazon' t-shirt business increasing orders from Disney to Dr. Seuss
DLTR,Dollar Tree quarterly same-store sales at namesake brand miss estimates
DUK,UPDATE 1-Duke Energy plans to decommission Florida nuke plant sooner than expected,Duke Energy plans to decommission retired Florida nuclear plant by 2027
FB,Inflatable angry emoji looms over Facebook annual board meeting,Refusal to remove video shows Facebook enabled Russian election meddling: Pelosi
GM,"GM to invest $24 mln in Fort Wayne plant, boost pickup production","GM to invest $24 mln in Fort Wayne plant, boost pickup production"
GPS,Gap cuts profit forecast after 'extremely challenging' quarter; shares slump 11%
HST,"Exclusive: Host Hotels to sell 3 Rio properties, exit Brazil - sources"
JPM,JPMorgan's deposit growth slowing as customers seek higher yield,JPMorgan's deposit growth slowing as customers seek higher yield
OXY,Investor Icahn sues Occidental Petroleum over 'misguided' Anadarko deal,Investor Icahn sues Occidental Petroleum over 'misguided' Anadarko deal
PCG,California's state regulator approves PG&E's wildfire mitigation plan
PVH,"PVH cuts profit forecast as CEO sees retail softness, shares tank"
VRTX,Vertex to file for approval of cystic fibrosis therapy in 2019
XOM,ExxonMobil backs LNG imports to world's biggest exporter,"Exxon shareholders reject resolutions on climate and splitting CEO, chairman roles"
