AAL,American Airlines' profit margin forecast helps shares up,American Airlines quarterly profit halves,American Airlines says flight 257 cleared after security concern,American Airlines flight 257 evacuated in Miami after security concern
AIG,AIG receives UK approval for Brexit restructure
AMZN,Amazon's holiday season sales outlook misses views; shares sink,Amazon third-quarter sales miss estimates
BIIB,"Eisai, Biogen Alzheimer's data fails to convince skeptics",UPDATE 1-Biogen shares slip after Alzheimer's data fails to convince,Biogen/Eisai Alzheimer's data suggests treatment effect related to drug
BLK,BlackRock-owned Mexican prison opens in Coahuila
BMY,"Merck, Bristol-Myers profits rise on cancer drug sales",Bristol-Myers profit rises on better-than-expected cancer drug sales
CA,"Mattel reports surprise rise in North America sales, shares jump","CORRECTED-Mattel misses sales estimates as China, Europe demand dips"
CMCSA,High-speed data boom drives Comcast profit beat,"Comcast adds more internet subscribers, beats profit forecasts"
CME,"CME profit beats on higher market data fees, lower taxes",CME Group quarterly profit rises 33 pct
CMG,Chipotle tops profit estimates as turnaround takes shape,Chipotle quarterly same-restaurant sales miss estimates
COP,"ConocoPhillips tops profit estimates, raises 2018 spending",UPDATE 2-Conoco gets $345 million in cash and commodities from Venezuela's PDVSA,Conoco gets $345 million in cash and commodities from Venezuela's PDVSA,ConocoPhillips reports fourfold rise in profit on higher oil prices
CPB,"Third Point sues Campbell Soup, accuses it of misleading investors"
CVX,Exclusive: Chevron in talks to buy Brazilian oil company's Texas refinery - sources,Chevron settles claims it violated Clean Air Act: U.S. Justice Department
DNB,Bank DNB third-quarter lags forecast despite no losses
EQT,EQT shares slump to eight-year low on third-quarter earnings miss
EXPE,Expedia profit rises 49 pct
FSLR,"First Solar cuts 2018 earnings and sales outlook, shares slide",First Solar cuts 2018 earnings and sales outlook; shares slide
GILD,Gilead 3rd quarter profit falls as hepatitis C drug sales wane,"UPDATE 2-Gilead hepatitis C drug sales fall, but profit beats estimates","CORRECTED-UPDATE 1-Gilead hepatitis C drug sales fall, but profit beats estimates"
GOOG,Alphabet misses Wall Street revenue estimates; shares fall,Alphabet's 3rd-qtr profit beats estimates
GOOGL,Alphabet misses Wall Street revenue estimates; shares fall,Alphabet's 3rd-qtr profit beats estimates
GS,Elon Musk's SpaceX seeks $500 million loan via Goldman: Bloomberg
HSY,Hershey's sees margin pressures easing in 2019 after disappointing quarter,Hershey's quarterly sales miss estimates
INTC,Data center and PC demand drives Intel profit beat
IP,International Paper considers sale of Brazil packaging unit,Internt'l Paper considering sale of Brazil packaging unit -report
LMT,Factbox: European fighter jet competitions and recent contract wins
LUV,Southwest pledges revenue boost but no baggage fees,Southwest quarterly profit rises 16.5 percent
MAT,"Mattel reports surprise rise in North America sales, shares jump","CORRECTED-Mattel misses sales estimates as China, Europe demand dips"
MPC,Marathon Petroleum wins U.S. antitrust approval to buy Express Mart with conditions
MRK,"Merck, Bristol-Myers profits rise on cancer drug sales",Merck says to retain animal health business as part of company,"Cancer drug Keytruda powers Merck's profit beat, forecast raise",Merck reports third-quarter profit vs year-ago loss
MSFT,US STOCKS SNAPSHOT-Stocks rebound on Microsoft boost,US STOCKS SNAPSHOT-Wall St opens higher helped by strong Microsoft earnings
NEM,"Newmont profit dips alongside gold, copper prices","Newmont profit dips alongside gold, copper prices"
PEP,EU mergers and takeovers (Oct 25)
PPG,"Trian calls for PPG Industries CEO ouster, wants to split company",PPG Industries backs CEO after shareholder Trian calls for his ouster
REGN,Regeneron wins dismissal of willfulness claim in Eylea patent dispute,FDA declines to approve pre-filled syringe version of Regeneron's Eylea
RIG,"Bassoe Offshore: Too Soon, Too Optimistic?"
RTN,"Raytheon beats profit estimates, raises full-year forecast",Raytheon CFO signals company open to options for Forcepoint unit,"Raytheon third-quarter profit beats, raises full-year forecasts"
UNP,"Union Pacific profit beats, shares rise",Union Pacific profit rises 33 percent
UPS,Mexican couriers seek changes to trade deal to access U.S. market,UPS gears up for heavy-duty eBike delivery test in Seattle
VLO,Valero to run refineries up to 98 percent capacity in fourth quarter,UPDATE 1-Valero Energy reports a small rise in quarterly profit,Valero Energy reports a small rise in quarterly profit
WFC,Two Wells Fargo executives go on leave of absence amid sales scandal review
WHR,Whirlpool expects to raise prices to counter higher costs,Whirlpool expects $300 mln in tariff-related costs in 2019
