ABBV,AbbVie settles Humira biosimilar dispute with Fresenius Kabi
AIG,AIG sees third-quarter catastrophe losses of $1.5 billion-$1.7 billion,AIG sees third-quarter catastrophe losses of $1.5 bln-$1.7 bln
ALB,A water fight in Chile's Atacama raises questions over lithium mining,Chile to seek international arbitration over Albemarle contract
AMZN,"Amazon to open Manchester office as it adds 1,000 British jobs","Sirius XM, Amazon join forces in push linked to Echo devices"
ANTM,Takeda gets Japanese approval for $62 billion Shire purchase,Takeda gets Japan's approval for $62 bln Shire purchase
CL,Colgate halts Venezuela detergent plant for lack of boxes
CMCSA,Comcast says its fastest internet reaches more U.S. homes than any other provider
CME,EU rejects U.S. 'blackmail' to dilute derivatives clearing rules,Rising U.S. shale exports turn WTI into 24-hour benchmark: CME,EU rejects U.S. calls to dilute derivatives clearing rules
CPB,"Campbell, Third Point battle heats up, no concessions on the table",Campbell Soup CEO sees no room for concessions to Third Point,Third Point video urges retail investors to replace Campbell Soup board
CVX,Fire forces evacuations near Chevron gas line in California
ETFC,E*Trade board: No plans to initiate a sale
FB,Facebook tentatively concludes spammers were behind recent data breach: WSJ,Facebook tentatively concludes that spammers were behind recent data breach -WSJ
GS,Goldman Sachs joins growing band of businesses snubbing Saudi conference,Goldman Sachs says executives will not attend Saudi conference
INTC,Micron to buy Intel's stake in joint venture IM Flash Technologies,Micron to buy Intel's stake in joint venture IM Flash Technologies
KO,Coca-Cola names company veteran Brian Smith chief operating officer,Coca-Cola names Brian Smith chief operating officer,Motor racing: McLaren sign short-term partnership with Coca-Cola
MRK,"Merck, Pfizer combo treatment meets main goals of kidney cancer trial"
MS,Morgan Stanley's brokerage sweetens retirement bonuses for top brokers
MU,Micron to buy Intel's stake in joint venture IM Flash Technologies,Micron to buy Intel's stake in joint venture IM Flash Technologies
NFLX,Netflix needs lower prices to woo India
NUE,"Nucor profit miss, steel market oversupply worries dent shares",REFILE-Nucor profits nearly triples as steel tariffs kick in
PFE,"Merck, Pfizer combo treatment meets main goals of kidney cancer trial"
PM,Pricing boost helps Philip Morris quarterly results to beat estimates,Philip Morris posts rise in third-quarter sales and profit
PYPL,"PayPal quarterly profit beats estimates, shares rise","PayPal quarterly profit beats estimates, shares rise"
SBUX,Starbucks to let Mexico's Alsea operate stores in four European markets,Starbucks to license out certain EMEA stores to Mexico's Alsea,"BRIEF-Nestle expects acceleration of growth in Q4, largely due to comps"
TXT,"Textron blames Arctic Cat buy for profit miss, shares fall 11 percent",Textron says Arctic Cat acquisition hurt third-quarter profit,Textron says Arctic Cat acquisition hurt third-quarter profit,Textron profit misses on lower aircraft sales
WFC,Senator Warren urges Fed to require removal of Wells Fargo CEO,U.S. Senator Warren urges Fed to require removal of Wells Fargo CEO,U.S. Senator Warren urges Fed to require removal of Wells Fargo CEO
XOM,"RPT-FOCUS-Exxon Mobil bets big on China LNG, sidesteps trade war",RPT-CORRECTED-(OFFICIAL)-UPDATE 1-Exxon Mobil signs framework agreement on LNG supply with Zhejiang Energy,Exxon Mobil signs framework agreement to supply LNG to Zhejiang Energy for 20 years,"RPT-FOCUS-Exxon Mobil bets big on China LNG, sidesteps trade war","Exxon Mobil bets big on China LNG, sidesteps trade war",Exxon Mobil looks to sign LNG supply deal with Zhejiang Energy - executive,Story on Zhoushan in talks with Exxon Mobil on ethylene plant withdrawn,"FOCUS-Exxon Mobil bets big on China LNG, sidesteps trade war"
