AAPL,Volkswagen hires Apple executive for autonomous vehicle role,"Apple, Qualcomm spar over CEOs' comments on settlement talks","US STOCKS-Wall Street extends rally, elevated by Apple and chipmakers","US STOCKS-Wall Street extends rally, elevated by Apple and chipmakers","US STOCKS-Wall Street extends rally, elevated by Apple and chipmakers","Volkswagen hires Apple exec for autonomous, mobility role - Manager Magazin",CORRECTED-UPDATE 2-Apple cuts current-quarter production plan for new iPhones by 10 pct - Nikkei,CORRECTED-Apple cuts current-quarter production plan for new iPhones by 10 pct - Nikkei,"REFILE-UPDATE 2-Qualcomm calls Apple CEO's settlement talk comment ""misleading""","Qualcomm says Apple CEO's comment ""misleading""",Apple cuts Q1 production plan for new iPhones by 10 pct - Nikkei
ACN,BRIEF-Accenture To Acquire Orbium
AMZN,Amazon CEO Jeff Bezos and wife MacKenzie to divorce,"Amazon CEO Jeff Bezos, wife Mackenzie decide to divorce"
BA,Airbus loses annual jet order race to rival Boeing
BBBY,"CORRECTED-UPDATE 1-Bed Bath & Beyond posts better-than-expected profit, shares soar","Bed Bath & Beyond posts better-than-expected profit, shares soar"
BLK,BlackRock elevates executive behind fast-growing ETF unit: memo
CHK,"Chesapeake output tops expectations, shares jump",Chesapeake Energy sees drop in fourth-quarter production
CVS,U.S. government says shutdown may slow resolution of CVS/Aetna court process
CVX,"Chevron, Occidental invest in CO2 removal technology"
DIS,Skydance hires ousted Disney animation head John Lasseter
FCX,Indonesia sees Grasberg copper concentrate exports dwindling in 2019
GM,"UPDATE 1-GM worker protest interrupts production at Oshawa, Canada plant"
JPM,Highest number of emerging economies will raise rates this year since 2006: JP Morgan
LEN,"Lennar sees housing demand rebounding, shares up nearly 10 percent",Lennar sees improvement in buyer traffic in first quarter,Lennar sees improvement in buyer traffic in first quarter,UPDATE 2-Lennar sales miss estimate as housing demand slows,Lennar profit more than doubles on CalAtlantic acquisition
OXY,"Chevron, Occidental invest in CO2 removal technology"
PCG,Factbox: What can the state of California do about PG&E?
PFE,Pfizer to shut two manufacturing plants in India,CORRECTED-Pfizer to shut two manufacturing plants in India,"REFILE-BRIEF-India's Pfizer Ltd Says News On Stopping Ops In Chennai, Aurangabad Units Unrelated To Co"
QCOM,"Apple, Qualcomm spar over CEOs' comments on settlement talks","REFILE-UPDATE 2-Qualcomm calls Apple CEO's settlement talk comment ""misleading"""
STT,State Street plans to lay off 15 percent of senior management: Bloomberg
STZ,"Constellation cuts forecast as pot investment, wine business weigh","Constellation Brands profit falls 38 pct, cuts full-year outlook"
UNP,Union Pacific shares rise on improved efficiency hopes,Union Pacific to report operating ratio of 62.7 pct for 2018
XOM,"Exxon's Beaumont, Texas refinery restarts CDU, coker: sources",U.S. top court rejects Exxon in climate change document dispute
