AAPL,"Apple's Cook set to back strong privacy laws in Europe, U.S. at Brussels event",Apple supplier AMS hit by forecast doubts amid chip slowdown,"Apple's Cook backs strong privacy laws in Europe, U.S. - remarks"
ABBV,AbbVie rheumatoid arthritis drug succeeds in late stage trial
AMZN,"Amazon.com, Qualcomm to put Alexa assistant in more headphones"
BA,REFILE-UTC beats profit estimates on airplane boom
BIIB,Biogen's Spinraza drives third-quarter profit beat,Biogen third-quarter profit rises 17.8 pct
CAT,Caterpillar tries to allay earnings concerns after shares tank,US STOCKS-Wall St cuts losses as investors snap up shares,US STOCKS SNAPSHOT-Wall St tumbles at open as weak industrials add to dour mood,Caterpillar Q3 profit beat estimates
CNC,"Centene's full-year profit forecast disappoints, shares fall",Health insurer Centene's quarterly profit falls 91 pct
COF,Capital One Bank fined $100 million over money-laundering controls,Capital One Bank fined $100 mln for anti-money laundering weaknesses
D,U.S. OKs some W.Virginia work on Dominion Atlantic Coast natgas pipe
FB,Facebook launches searchable database for U.S. political ad spending,Facebook's WhatsApp says no plan to lift forwarding limit in Brazil
FITB,Lender Fifth Third sees interest income rising; shares buck downtrend,Fifth Third Bancorp profit slumps 58 percent
GS,"Thyssenkrupp hires Goldman Sachs, JP Morgan and Deutsche Bank to advise on split"
HOG,"Harley-Davidson's weak U.S. sales, shipment forecast weigh on shares",Harley-Davidson expects up to $48 mln in costs from tariffs in 2018,"Harley profit rises 67 percent, gets boost from Europe"
JNJ,Deals of the day-Mergers and acquisitions,Johnson & Johnson makes $2.1 billion offer to buy out Japan cosmetics firm Ci:z,J&J makes $2.1 bln offer to buy out Japan cosmetics firm Ci:z
JPM,"MOVES-JPMorgan reshuffles healthcare group, co-head departs -sources","Thyssenkrupp hires Goldman Sachs, JP Morgan and Deutsche Bank to advise on split"
KHC,Kraft Heinz to sell part of Indian businesses to drugmaker Zydus: Bloomberg,Kraft Heinz to sell part of Indian businesses to drugmaker Zydus - Bloomberg
LMT,"Lockheed Martin profit beats, downplays Saudi exposure",Lockheed Martin profit rises 17 pct in third quarter
MCD,McDonald's overseas strength counters U.S. sales miss,McDonald's to unveil new breakfast items in U.S.,McDonald's U.S. same-store sales misses estimates
MMM,US STOCKS-Wall St cuts losses as investors snap up shares
NFLX,Netflix adds to growing debt pile with $2 billion bond issue,"UPDATE 1-Netflix backs ""Sacred Games"" season 2 after probe",Netflix backs Sacred Games season 2 after probe
PHM,Homebuilder Pulte expects U.S. market to weather higher rates,Homebuilder PulteGroup's profit jumps 63 pct
PM,Philip Morris aims to revive Japan sales with cheaper heat-not-burn tobacco,UPDATE 1-Philip Morris aims to revive Japan sales with cheaper heat-not-burn tobacco
PSX,President-elect Lopez Obrador slams Mexico's Pemex for crude import plan
QCOM,"Amazon.com, Qualcomm to put Alexa assistant in more headphones"
RIG,Pacific Driling: October Fleet Status Report Analysis,Transocean: Report Shows Strength In North Sea And Continued Problems In UDW
SLB,Technical challenges could slow growth in shale oil output: Schlumberger CEO
STZ,Exclusive: Corona brewer Constellation seeks to sell U.S. wine brands - sources
TGT,"Target's two-day holiday shipping option beats Amazon, Walmart","Target expands delivery, pickup options ahead of U.S. holiday season"
TXN,"Texas Instruments forecasts lower-than-expected profit, shares fall"
UNP,Union Pacific to cut 475 jobs in first wave of planned reductions
UTX,"UTC confident of Chinese nod for Rockwell deal, reports strong profit",United Technologies expects higher cost in 2019 due to tariffs,United Technologies expects higher cost in 2019 due to tariffs,REFILE-UTC beats profit estimates on airplane boom
VZ,"Verizon beats Wall Street estimates, shares hit 18-year high",Verizon beats phone subscriber estimates
WFC,Wells Fargo pays $65 million to settle 'cross-sell' fraud claims with New York
XOM,"Exclusive: Exxon, Rosneft to build LNG plant with Japanese, Indian partners - sources"
XRX,"Xerox beats on profit, misses on revenue under Icahn appointees",Xerox reports 5.8 pct drop in revenue
