AAPL,Apple supplier Japan Display seeks $893 mln to fund restructuring - Nikkei
AMZN,Whole Foods profit down as same-store sales declines persists
GOOGL,BRIEF-Alphabet's Google announces $50 mln initiative to help people prepare for the changing nature of work - Blog
