AAPL,"Apple woos investors with China gain, market value nears $1 trillion",US STOCKS-Apple lifts Wall Street higher; Fed decision on the horizon,US STOCKS-Wall St set to open higher on Apple bounce; Fed decision awaited,"Apple woos investors with China gain, market value nears $1 trillion",US STOCKS-Futures drift higher on Apple results; Fed rate decision awaited,"Apple's services, wearables shore up results as iPhone drops below half of sales"
AMZN,MOVES-Amazon executive with wide remit to take one-year leave,Getting under the hood of Amazon’s auto ambitions,"Amazon, Walmart, Ikea targeted in University of California light bulb lawsuits"
BA,Boeing supplier Spirit tops estimates despite MAX groundings,Boeing supplier Spirit Aero's profit rises 15.7%,"General Electric posts loss, cash flow takes Boeing hit",FAA hopes global regulators simultaneously approve Boeing 737 MAX to fly again
BLK,BlackRock raises $2 billion for Global Credit Opportunities Fund
CME,"CME's second-quarter earnings fall, expenses weigh",CME reports lower second quarter earnings
CSCO,Cisco whistleblower gets first False Claims payout over cybersecurity
CTSH,Cognizant profit beats view; flags future softness in banking,"Cognizant profit rises, fueled by demand in financial sector"
CVX,Indonesia's oil and gas regulator urges quick resolution for Chevron's IDD project
CXO,"Whiting Petroleum posts surprise quarterly loss, cuts 33% workforce","Concho Resources profit falls 25% on lower crude, gas prices"
DIS,"Facebook approaches Netflix, Disney to support TV chat device: The Information"
FB,Facebook defeats appeal in U.S. claiming it aided Hamas attacks in Israel,Facebook defeats appeal in U.S. claiming it aided Hamas attacks,"Facebook approaches Netflix, Disney to support TV chat device: The Information"
GE,GE lifts forecast but warns Boeing grounding may cost $1.4 billion,"GE's Baker Hughes beats estimates on international demand, LNG drilling","General Electric posts loss, cash flow takes Boeing hit"
HES,"Hess posts smaller-than-expected loss, raises production forecast",Hess Corp posts smaller quarterly loss
HUM,Humana raises 2019 profit forecast on back of second-quarter beat,Health insurer Humana's second-quarter revenue jumps 13.9%
JPM,JPMorgan lowers benchmark interest rate following Fed rate cut
JWN,Nordstrom family prepares proposal for major stake in retailer - WSJ,Nordstrom family prepares proposal for major stake in retailer- WSJ
KHC,Kraft Heinz to report half-yearly results on Aug. 8
LMT,Lockheed Martin wins $800 million U.S. defense contract -Pentagon
MDLZ,Oreo maker Mondelez raises sales forecast as emerging markets fuel growth,"Ivory Coast, Ghana pricing agreement causing a 'spike in cocoa cost' - Mondelez","Ivory Coast, Ghana pricing agreement causing a 'spike in cocoa cost' -Mondelez"
MET,MetLife quarterly profit doubles on derivative gains,MetLife quarterly profit doubles on derivative gains
MNK,Mallinckrodt must face investors' antitrust lawsuit over expensive medication
MYL,Mylan reaches $30 million settlement in SEC's EpiPen probe
NFLX,"Facebook approaches Netflix, Disney to support TV chat device: The Information"
NOC,Northrop Grumman wins $482 million U.S. defense contract -Pentagon
OXY,"Occidental Petroleum's second-quarter earnings dip on deal costs, chemicals","Occidental Petroleum profit falls on low gas prices, derivative contracts"
PCG,PG&E says it 'strongly disagrees' delayed maintenance played role in Camp Fire,PG&E says it 'strongly disagrees' delayed maintenance played role in Camp Fire
PG,CORRECTED-Procter & Gamble quarterly sales beat expectations (July 30)
PRU,"Prudential profit misses mark on weaker individual life, annuities units",Prudential posts slight rise in quarterly operating income
QCOM,Qualcomm outlook clouded by Huawei's smartphone gains in China,Qualcomm forecast current-quarter revenue below estimates
RIG,Offshore Drilling: What's Going On In Brazil,Swiss stocks - Factors to watch on July 31
TAP,"Brewer Molson Coors CEO retires, U.S. head to take over",Brewer Molson Coors' CEO retires
WFC,11th Circuit tosses Florida city's mortgage bias lawsuit against Wells Fargo,MOVES-Wells Fargo creates new role to focus on customer remediation and satisfaction,Major U.S. banks lower benchmark interest rates following Fed rate cut
XOM,Exxon says 37 workers treated for 'minor' injuries after Baytown plant fire,"Exxon says 37 workers treated for ""minor"" injuries after Baytown plant fire",U.S. Gulf Coast CBOB gasoline spot prices rise following Exxon Baytown fire news -traders,Oil firm DNO looking at Exxon Mobil's Norwegian assets
