BA,U.S. orders speedy checks for cracks on 165 Boeing 737 NG planes,"Timeline: Highlights of the 15-year Airbus, Boeing trade war",U.S. orders speedy checks for cracks on 165 Boeing 737 NG planes
BLK,Blockchain hires BlackRock exec as general counsel
C,London forex trader sues Citigroup over 'malicious' forex prosecution,Citi says prospects for a Brexit deal look weak so brace for delay
CB,Lloyd's of London insurer Axis Capital drops bid to cover Carmichael mine: source
DAL,"Delta says new U.S. tariffs on Airbus will hurt profits, inflict 'serious harm'","Delta says new U.S. tariffs on Airbus will hurt profits, inflict 'serious harm'"
F,Pick-up trucks remain mainstay for Detroit Three in third quarter,Ford U.S. sales fall 5% in the third quarter
FB,"Visa, Mastercard reconsider backing Facebook's Libra: WSJ"
GM,"UAW rejects new GM offer as strike forces 6,000 Mexico layoffs"
GOOG,Website that allowed Huawei phones to install Google apps taken down,Google offers incognito mode for Maps in privacy push,Huawei phones lose access to install Google's apps - Bloomberg
GOOGL,Website that allowed Huawei phones to install Google apps taken down,Google offers incognito mode for Maps in privacy push,Huawei phones lose access to install Google's apps - Bloomberg
GS,FireEye hires Goldman Sachs for potential sale: Business Insider,FireEye hires Goldman Sachs for potential sale - Business Insider,Goldman Sachs reshuffles Asia M&A leadership as John Kim joins Carlyle - memo,MOVES-Goldman Sachs reshuffles Asia M&A leadership as John Kim retires - memo
JNJ,J&J's Acclarent must face whistleblower's wrongful discharge claim at trial - judge,Johnson & Johnson settles Ohio lawsuits to avoid federal trial,UPDATE 2-Johnson & Johnson settles Ohio lawsuits to avoid federal trial,J&J settles with Ohio counties ahead of opioid trial
KR,Kroger to layoff several store employees
LEN,Higher demand for cheaper homes powers Lennar's profit beat,Lennar profit rises 13% on higher home sales
MO,Juul hires Altria executive to handle regulation amid vaping crisis
MYL,Mylan loses bid to axe Sanofi insulin patents ahead of trial
RIG,BRIEF-Transocean Ltd Announces World's First Hybrid Floating Drilling Unit,Valaris Plc: Maybe Vulnerable But Definitely Not Dead Yet
V,"Visa, Mastercard reconsider backing Facebook's Libra: WSJ"
WMT,Walmart becomes latest U.S. retailer to pull heartburn drug Zantac,Walmart suspends sale of heartburn drugs linked to cancer-causing impurity
XOM,Analysts cut estimates for Exxon's third-quarter profit on weaker oil prices,Weak oil prices hit Exxon's third-quarter earnings: filing
