AAPL,VirnetX wins $502 million in latest patent trial against Apple
AMZN,BRIEF-Amazon And Ring Close Acquisition—Now Working Together To Empower Neighbors With Affordable Ways To Monitor Their Homes And Reduce Crime In Neighborhoods
GOOGL,Google poised to emerge unscathed from European antitrust crackdown
