AAL,American Airlines reaches settlement with Boeing for 737 MAX compensation in 2019
AGN,"BRIEF-Ironwood, Allergan Announce Settlement Resolving Linzess (Linaclotide) Patent Litigation"
AMZN,Amazon to showcase its transportation drive at world's largest tech show,Amazon Fire TV crosses 40 million active users globally
BA,American Airlines reaches settlement with Boeing for 737 MAX compensation in 2019,Mexico's Aeromexico reaches compensation agreement with Boeing on MAX crisis,UPDATE 1-Boeing considers raising more debt as MAX crisis weighs - WSJ
CME,MOVES-UK billionaire Michael Spencer replaces Lord Saatchi as CPS chairman,CORRECTED-First LNG freight futures trades via CME Group agreed - brokers
F,Ford quarterly sales slip on slowdown in passenger cars demand,Ford U.S. sales fall 1.3% in fourth quarter
FSLR,"First Solar to pay $350 million to end shareholder lawsuit, avert trial"
GOOG,"US STOCKS-Alphabet, Amazon keep S&P afloat as Middle East tensions persist","US STOCKS-Alphabet, Amazon keep S&P afloat as Middle East tensions persist"
GOOGL,"US STOCKS-Alphabet, Amazon keep S&P afloat as Middle East tensions persist","US STOCKS-Alphabet, Amazon keep S&P afloat as Middle East tensions persist"
HPQ,Xerox secures $24 billion financing for proposed HP takeover,Xerox secures $24 bln financing for proposed HP takeover
MRK,Merck's Keytruda shows mixed results in phase 3 trial for small cell lung cancer,CORRECTED-BRIEF-Merck's Keytruda Shows Mixed Results In Phase 3 Trial For Small Cell Lung Cancer
NKE,Michael Avenatti fails to narrow Nike indictment; U.S. judge cites Cosby case
NWS,Tremor International to boost video advertising with Unruly News Corp deal,CORRECTED-UPDATE 1-Tremor International looks to boost video advertising with News Corp deal,Israel's Tremor International buys video advertising unit from News Corp
NWSA,Tremor International to boost video advertising with Unruly News Corp deal,CORRECTED-UPDATE 1-Tremor International looks to boost video advertising with News Corp deal,Israel's Tremor International buys video advertising unit from News Corp
OXY,Occidental to cut Western Midstream stake to reduce debt,Occidental to slash Western Midstream interest below 50%
QCOM,"Qualcomm launches autonomous driving computer, aiming to hit roads by 2023"
RRC,"Range Resources suspends dividend, cuts 2020 capital expenditure"
WMT,9th Circuit upholds $55 mln wage-and-hour verdict for Walmart truck drivers
