AAPL,Apple's new iPhones shift smartphone camera battleground to AI
AMZN,Three U.S. senators urge Amazon's Bezos to check driver abuse,UPDATE 3-Amazon extends food tie-up with British supermarket Morrisons
GOOGL,Waymo eyes deploying self-driving technology in trucking: CEO Krafcik,"U.S. social media firms to testify on violent, extremist online content"
