AAPL,Apple defends App Store amid mounting criticism
ADM,"ADM marries grain trading, oilseed units; second revamp in 14 months",ADM to combine origination and oilseed business
AGN,Allergan to recall textured breast implants in Canada
AMZN,Amazon launches smaller Echo Show device for $90
BA,Boeing aims for first flight of 777X in late June: sources,Boeing surprised Canada changed rules of jet competition to allow Lockheed Martin bid
BAC,Bank of America sees lower trading revenue in second quarter,Bank of America sees lower trading revenue in second quarter
BBBY,UPDATE 1-Bed Bath & Beyond says investor group withdraws board nominees after agreement,Bed Bath & Beyond says investor group withdraws board nominees
DOW,DowDuPont to take $800 million-$1.3 billion charge in second quarter
DVN,Oil producer Canadian Natural doubles down on Canada in $2.8 billion deal with Devon,Canadian Natural Resources to buy Devon Energy's assets in Canada for $2.8 bln
EBAY,UPDATE 1-German online classifieds firm Scout24 eyes Ebay parts - CEO,German online classifieds firm Scout24 eyes Ebay parts - CEO
FB,Breakingviews - U.S. watchdog should throw down Facebook gauntlet,Breakingviews - Hadas: Facebook could fall into a new-money trap,Canadian lawmakers fume after Facebook's Zuckerberg snubs invitation
FITB,6th Circuit offers plaintiffs second chance in Fifth Third Bank loan fees lawsuit
FTR,Frontier to sell telecom assets in four U.S. states for $1.35 billion,Frontier Communications to sell some assets for $1.35 billion
JNJ,"J&J's greed helped fuel U.S. opioid crisis, Oklahoma claims at trial"
LMT,Boeing surprised Canada changed rules of jet competition to allow Lockheed Martin bid
MS,Morgan Stanley cuts about half a dozen Asian equities jobs: sources,Morgan Stanley cuts about half a dozen Asian equities jobs -sources
PCG,"No committee needed for PG&E ratepayers, says judge"
PVH,CORRECTED-PVH quarterly sales miss estimates
QCOM,MediaTek aims to take on Qualcomm with new 5G chip,Qualcomm asks U.S. judge to put anti-trust ruling on hold while chipmaker appeals,Qualcomm asks U.S. judge to put anti-trust ruling on hold while chipmaker appeals
WFC,Wells Fargo adds former Bank of America executive to board
XOM,"Exxon shareholders reject splitting CEO, board chair roles"
